id_pedido;descricao;data_pgto;quantidade;preco_unitario;id_cliente;ultima_compra
536365;WHITE HANGING HEART T-LIGHT HOLDER;06/06/2021 08:26;6;2.55;17850;16/08/2021
536366;HAND WARMER UNION JACK;06/06/2021 08:28;6;1.85;17850;16/08/2021
536367;ASSORTED COLOUR BIRD ORNAMENT;06/06/2021 08:34;32;1.69;13047;14/05/2022
536368;JAM MAKING SET WITH JARS;06/06/2021 08:34;6;4.25;13047;14/05/2022
536369;BATH BUILDING BLOCK WORD;06/06/2021 08:35;3;5.95;13047;14/05/2022
536370;ALARM CLOCK BAKELIKE PINK;06/06/2021 08:45;24;3.75;12583;12/06/2022
536371;PAPER CHAIN KIT 50'S CHRISTMAS ;06/06/2021 09:00;80;2.55;13748;11/03/2022
536372;HAND WARMER RED POLKA DOT;06/06/2021 09:01;6;1.85;17850;16/08/2021
536373;WHITE HANGING HEART T-LIGHT HOLDER;06/06/2021 09:02;6;2.55;17850;16/08/2021
536374;VICTORIAN SEWING BOX LARGE;06/06/2021 09:09;32;10.95;15100;19/07/2021
536375;WHITE HANGING HEART T-LIGHT HOLDER;06/06/2021 09:32;6;2.55;17850;16/08/2021
536376;HOT WATER BOTTLE TEA AND SYMPATHY;06/06/2021 09:32;48;3.45;15291;20/05/2022
536377;HAND WARMER RED POLKA DOT;06/06/2021 09:34;6;1.85;17850;16/08/2021
536378;JUMBO BAG PINK POLKADOT;06/06/2021 09:37;10;1.95;14688;07/06/2022
536380;JAM MAKING SET PRINTED;06/06/2021 09:41;24;1.45;17809;29/05/2022
536381;RETROSPOT TEA SET CERAMIC 11 PC ;06/06/2021 09:41;23;4.25;15311;14/06/2022
C536379;Discount;06/06/2021 09:41;1;27.5;14527;12/06/2022
536382;INFLATABLE POLITICAL GLOBE ;06/06/2021 09:45;12;0.85;16098;19/03/2022
C536383;SET OF 3 COLOURED  FLYING DUCKS;06/06/2021 09:49;1;4.65;15311;14/06/2022
536384;WOOD BLACK BOARD ANT WHITE FINISH;06/06/2021 09:53;3;6.45;18074;06/06/2021
536385;SET 3 WICKER OVAL BASKETS W LIDS;06/06/2021 09:56;1;19.95;17420;25/04/2022
536386;WHITE WIRE EGG HOLDER;06/06/2021 09:57;36;4.95;16029;07/05/2022
536387;CHILLI LIGHTS;06/06/2021 09:58;89;3.82;16029;07/05/2022
536388;HOME BUILDING BLOCK WORD;06/06/2021 09:59;3;5.95;16250;26/09/2021
536389;CHRISTMAS LIGHTS 10 REINDEER;06/06/2021 10:03;6;8.5;12431;10/05/2022
536390;CHRISTMAS LIGHTS 10 REINDEER;06/06/2021 10:19;2;8.5;17511;12/06/2022
C536391;PLASTERS IN TIN CIRCUS PARADE ;06/06/2021 10:24;144;1.65;17548;09/11/2021
536392;3 STRIPEY MICE FELTCRAFT;06/06/2021 10:29;6;1.95;13705;07/06/2022
536393;RETROSPOT LAMP;06/06/2021 10:37;8;9.95;13747;06/06/2021
536394;FANCY FONT BIRTHDAY CARD ;06/06/2021 10:39;24;0.42;13408;13/06/2022
536395;BLACK HEART CARD HOLDER;06/06/2021 10:47;8;3.95;13767;12/06/2022
536396;WHITE HANGING HEART T-LIGHT HOLDER;06/06/2021 10:51;6;2.55;17850;16/08/2021
536397;SET OF 3 BLACK FLYING DUCKS;06/06/2021 10:51;12;4.65;17924;13/06/2022
536398;PACK OF 12 RED RETROSPOT TISSUES ;06/06/2021 10:52;24;0.29;13448;29/05/2022
536399;HAND WARMER RED POLKA DOT;06/06/2021 10:52;6;1.85;17850;16/08/2021
536400;HOMEMADE JAM SCENTED CANDLES;06/06/2021 10:53;12;1.45;13448;29/05/2022
536401;BIRD HOUSE HOT WATER BOTTLE;06/06/2021 11:21;1;2.55;15862;06/06/2022
536402;PAPER CHAIN KIT 50'S CHRISTMAS ;06/06/2021 11:22;40;2.55;15513;14/05/2022
536403;HAND WARMER BIRD DESIGN;06/06/2021 11:27;96;1.85;12791;06/06/2021
536404;HEART IVORY TRELLIS SMALL;06/06/2021 11:29;24;1.25;16218;16/05/2022
536405;SET/5 RED RETROSPOT LID GLASS BOWLS;06/06/2021 11:32;128;2.55;14045;25/02/2022
536406;WHITE HANGING HEART T-LIGHT HOLDER;06/06/2021 11:33;8;2.55;17850;16/08/2021
536407;HAND WARMER RED POLKA DOT;06/06/2021 11:34;6;1.85;17850;16/08/2021
536408;MAGIC DRAWING SLATE DINOSAUR;06/06/2021 11:41;24;0.42;14307;18/03/2022
536409;5 STRAND GLASS NECKLACE CRYSTAL;06/06/2021 11:45;3;6.35;17908;06/06/2021
536412;LUNCH BAG CARS BLUE;06/06/2021 11:49;3;1.65;17920;10/06/2022
536414;;06/06/2021 11:52;56;0;;#N/D
536415;60 CAKE CASES VINTAGE CHRISTMAS;06/06/2021 11:57;10;0.55;12838;12/05/2022
536416;ROTATING LEAVES T-LIGHT HOLDER;06/06/2021 11:58;12;1.25;13255;11/06/2022
536420;WOODEN BOX OF DOMINOES;06/06/2021 12:03;12;1.25;16583;06/06/2021
536423;SET OF 6 SOLDIER SKITTLES;06/06/2021 12:08;4;3.75;18085;19/07/2021
536425;HOT WATER BOTTLE BABUSHKA ;06/06/2021 12:08;8;4.65;13758;03/06/2022
536437;RED RETROSPOT OVEN GLOVE ;06/06/2021 12:12;79;1.06;13694;11/06/2022
536446;HYACINTH BULB T-LIGHT CANDLES;06/06/2021 12:15;32;0.42;15983;23/05/2022
536460;FRENCH WC SIGN BLUE METAL;06/06/2021 12:22;12;1.25;14849;24/05/2022
536463;WASHROOM METAL SIGN;06/06/2021 12:22;12;1.45;14849;24/05/2022
536464;BLACK SWEETHEART BRACELET;06/06/2021 12:23;2;4.25;17968;06/06/2021
536466;JAM MAKING SET WITH JARS;06/06/2021 12:23;6;4.25;14849;24/05/2022
536477;SMALL GLASS HEART TRINKET POT;06/06/2021 12:27;48;1.85;16210;13/06/2022
